Experiment_ID, Trial_ID, Manufacturer, Model_Number, Serial_Number, Local_Bluetooth_Address, Local_UUID, Scan_Start_Time, Scan_Actual_End_Time, Scan_Length, scan_record_converted, Scan_Mode, Remote_Bluetooth_Address, deviceName, timestampNanos, Boot_Timestamp_MS, Boot_Date, Discovery_Date, bat_discovery_charge_counter, bat_discovery_current_now, bat_discovery_current_average, bat_discovery_current_capacity, txPowerLevel, rssi, bat_start_charge_counter, bat_start_current_now, bat_start_current_average, bat_start_current_capacity, bat_end_charge_counter, bat_end_current_now, bat_end_current_average, bat_end_current_capacity, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos1, Low_Power, 7C:50:0F:C6:C1:53, ,44621974851932, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:00.165,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-84,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos2, Low_Power, 44:C1:63:1E:ED:C3, ,44622667725786, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:00.858,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-89,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos1, Low_Power, 7C:50:0F:C6:C1:53, ,44622981509588, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:01.172,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-83,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos3, Low_Power, 41:BA:F9:CE:89:56, ,44623441053077, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:01.632,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-93,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos1, Low_Power, 7C:50:0F:C6:C1:53, ,44623997103703, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:02.189,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-78,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos3, Low_Power, 41:BA:F9:CE:89:56, ,44624449939483, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:02.641,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-92,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos2, Low_Power, 44:C1:63:1E:ED:C3, ,44624680386254, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:02.871,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-96,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos2, Low_Power, 44:C1:63:1E:ED:C3, ,44625687510212, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:03.878,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-87,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos9, Low_Power, 52:4A:B8:22:A2:A9, ,44625803226358, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:03.994,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-100,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos7, Low_Power, 60:07:F6:22:D3:42, ,44626359691148, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:04.551,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-94,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos2, Low_Power, 44:C1:63:1E:ED:C3, ,44626697534899, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:04.889,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-88,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos8, Low_Power, 43:44:E6:6C:94:CC, ,44626708434326, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:04.899,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-89,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos7, Low_Power, 60:07:F6:22:D3:42, ,44627368894013, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:05.559,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-93,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos10, 42:F4:AD:8F:0F:BF, , 44635584757917,1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:13.775, -9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-102,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808,100, ,
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos6, Low_Power, 79:4E:43:A7:FD:FA, ,44637725257864, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:15.916,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-91,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos6, Low_Power, 79:4E:43:A7:FD:FA, ,44638736974739, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:16.928,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-87,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos5, Low_Power, 74:6A:2B:65:BC:C6, ,44640090906665, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:18.281,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-84,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos5, Low_Power, 74:6A:2B:65:BC:C6, ,44641100368800, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:19.291,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-87,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos3, Low_Power, 41:BA:F9:CE:89:56, ,44643576533539, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:21.768,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-99,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos8, Low_Power, 43:44:E6:6C:94:CC, ,44643803462810, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:21.994,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-96,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos1, Low_Power, 7C:50:0F:C6:C1:53, ,44644140729059, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:22.332,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-83,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos3, Low_Power, 41:BA:F9:CE:89:56, ,44644583086664, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:22.774,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-93,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos8, Low_Power, 43:44:E6:6C:94:CC, ,44644818693330, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:23.010,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-98,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos1, Low_Power, 7C:50:0F:C6:C1:53, ,44645147387080, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:23.338,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-83,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos8, Low_Power, 43:44:E6:6C:94:CC, ,44645828112861, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:24.020,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-90,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos8, Low_Power, 43:44:E6:6C:94:CC, ,44646833968068, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:25.025,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-94,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos2, Low_Power, 44:C1:63:1E:ED:C3, ,44646847399266, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 02:40:25.039,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-98,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos2, Low_Power, 44:C1:63:1E:ED:C3, ,44647847438953, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:26.038,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-95,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,34, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430116800018,1430117100055,300000, Pos7, Low_Power, 60:07:F6:22:D3:42, ,44648527960516, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 02:40:26.718,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-101,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
