Experiment_ID, Trial_ID, Manufacturer, Model_Number, Serial_Number, Local_Bluetooth_Address, Local_UUID, Scan_Start_Time, Scan_Actual_End_Time, Scan_Length, scan_record_converted, Scan_Mode, Remote_Bluetooth_Address, deviceName, timestampNanos, Boot_Timestamp_MS, Boot_Date, Discovery_Date, bat_discovery_charge_counter, bat_discovery_current_now, bat_discovery_current_average, bat_discovery_current_capacity, txPowerLevel, rssi, bat_start_charge_counter, bat_start_current_now, bat_start_current_average, bat_start_current_capacity, bat_end_charge_counter, bat_end_current_now, bat_end_current_average, bat_end_current_capacity, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos2, Low_Power, 6B:01:8F:F9:83:50, ,37421884212908, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 00:40:00.075,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-85,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos3, Low_Power, 79:7A:FA:1E:EC:4B, ,37422700924313, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 00:40:00.891,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-90,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos6, Low_Power, 4A:C0:22:22:7E:BF, ,37423355826918, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 00:40:01.546,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-86,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos5, Low_Power, 78:C8:FA:78:72:01, ,37423470365407, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 00:40:01.661,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-88,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos2, Low_Power, 6B:01:8F:F9:83:50, ,37423691391813, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 00:40:01.882,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-84,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos1, Low_Power, 62:3B:E0:4E:2F:14, ,37424023580460, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 00:40:02.214,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-80,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos8, Low_Power, 7D:AA:C9:BE:21:AC, ,37424695532230, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 00:40:02.887,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-92,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos4, Low_Power, 55:EB:9E:84:10:B1, ,37424813067647, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 00:40:03.004,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-98,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos7, Low_Power, 5D:2D:F4:07:CC:9D, ,37425144438011, 1430072178192, 2015-04-26 14:16:18.192, 2015-04-27 00:40:03.336,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-93,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
1,26, HTC, HTC6525LVW, FA4BSSF00582, D4:0B:1A:0A:DC:BB,990005013901161,1430109600020,1430109900060,300000, Pos5, Low_Power, 78:C8:FA:78:72:01, ,37425265924990, 1430072178191, 2015-04-26 14:16:18.191, 2015-04-27 00:40:03.456,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-7,-83,-9223372036854775808,-9223372036854775808,-9223372036854775808,100,-9223372036854775808,-9223372036854775808,-9223372036854775808, 100, 
